12:13:06 | INFO | SearchResultItemComponent:28             | Is element visible, condition --> visible, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][15]//span[text()='Best Seller']
12:13:06 | INFO | SearchResultItemComponent:28             | Get book name, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][15]//h2//span
12:13:07 | INFO | SearchResultItemComponent:28             | Get author, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][15]//span[contains(text(), 'by')]//following-sibling::*[1]
12:13:07 | INFO | SearchResultItemComponent:28             | Get prices, elements --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][15]//span[@class='a-price']
12:13:07 | INFO | SearchResultItemComponent:28             | Is best seller, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][16]//span[text()='Best Seller']
12:13:07 | INFO | SearchResultItemComponent:28             | Is element visible, condition --> visible, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][16]//span[text()='Best Seller']
12:13:07 | INFO | SearchResultItemComponent:28             | Get book name, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][16]//h2//span
12:13:07 | INFO | SearchResultItemComponent:28             | Get author, element --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][16]//span[contains(text(), 'by')]//following-sibling::*[1]
12:13:07 | INFO | SearchResultItemComponent:28             | Get prices, elements --> By.xpath: //span[@data-component-type='s-search-results']//div[@data-component-type='s-search-result'][16]//span[@class='a-price']
12:13:08 | INFO | TestListener:23                          | PASSED test: searchBooksTest
12:13:08 | INFO | CloseDriverCommand:30                    | Close webdriver: 1 -> ChromeDriver: chrome on WINDOWS (706c6c5a6cb49ec2bb155b7f9816851e)...
12:13:10 | INFO | CloseDriverCommand:32                    | Closed webdriver 1 in 2037 ms
12:13:10 | INFO | AmazonSearchBooksTest:28                 | Web driver closed!
12:13:10 | INFO | CloseDriverCommand:30                    | Close webdriver: 25 -> ChromeDriver: chrome on WINDOWS (null)...
12:13:10 | INFO | FileHelper:81                            | Deleted empty folder: D:\TestMatick\Archive\build\downloads\1687511554019_1796_1
12:13:10 | INFO | CloseDriverCommand:32                    | Closed webdriver 25 in 2 ms
